2186,1590,2191,1611
2023,1548,2022,1554
1768,1576,1758,1583
2583,1619,2573,1621
2743,1577,2735,1590
2992,1622,2975,1618
2398,1932,2394,1966
2218,2046,2171,2041
2576,2053,2590,2048
2130,2023,2085,1976
2626,2019,2657,1985
2063,2410,1960,2326
2380,2346,2362,2289
2692,2409,2761,2358
2332,3057,2349,3111
1667,2868,1667,2870
3014,2884,3001,2890
1545,3391,1539,3402
3186,3411,3175,3426
1485,2325,1456,2321
1352,1691,1336,1704
3228,2350,3225,2342
3367,1776,3355,1781
1709,822,1692,837
2976,1016,2957,1020
2479,343,2463,347